username,group,group,display-name,email
aletaogord,users,marvel,Aleta Ogord,Aleta.Ogord@marvelwelt.fantasy
ayesha,users,marvel,Ayesha,Ayesha@marvelwelt.fantasy
babygroot,users,marvel,Baby Groot,Baby.Groot@marvelwelt.fantasy
groot,users,marvel,Groot,Groot@marvelwelt.fantasy
bereet,users,marvel,Bereet,Bereet@marvelwelt.fantasy
taneleertivan,users,marvel,Taneleer Tivan,Taneleer.Tivan@marvelwelt.fantasy
garthansaal,users,marvel,Garthan Saal,Garthan.Saal@marvelwelt.fantasy
drax,users,marvel,Drax,Drax@marvelwelt.fantasy
ego,users,marvel,Ego,Ego@marvelwelt.fantasy
gamora,users,marvel,Gamora,Gamora@marvelwelt.fantasy
iranirael,users,marvel,Irani Rael,Irani.Rael@marvelwelt.fantasy
korath,users,marvel,Korath,Korath@marvelwelt.fantasy
kraglinob,users,marvel,Kraglin Obfonteri,Kraglin.Obfonteri@marvelwelt.fantasy
krylorianatt,users,marvel,Krylorian Attendant,Krylorian.Attendant@marvelwelt.fantasy
mantis,users,marvel,Mantis,Mantis@marvelwelt.fantasy
meredithquill,users,marvel,Meredith Quill,Meredith.Quill@marvelwelt.fantasy
nebula,users,marvel,Nebula,Nebula@marvelwelt.fantasy
rhomanndey,users,marvel,Rhomann Dey,Rhomann.Dey@marvelwelt.fantasy
mordaly,users,marvel,Rocket Raccoon,Rocket.Raccoon@marvelwelt.fantasy
ronan,users,marvel,Ronan,Ronan@marvelwelt.fantasy
schamber,users,marvel,Sovereign Chambermaid,Sovereign.Chambermaid@marvelwelt.fantasy
sadmiral,users,marvel,Sovereign Admiral,Sovereign.Admiral@marvelwelt.fantasy
stakarogord,users,marvel,Stakar Ogord,Stakar.Ogord@marvelwelt.fantasy
peterquill,users,marvel,Peter Quill,Peter.Quill@marvelwelt.fantasy
tface,users,marvel,Taserface,Taserface@marvelwelt.fantasy
tiasha,users,marvel,Ti Asha ,Ti.Asha@marvelwelt.fantasy
tullk,users,marvel,Tullk,Tullk@marvelwelt.fantasy
yondu,users,marvel,Yondu Udonta,Yondu.Udonta@marvelwelt.fantasy
zylak,users,marvel,Zylak,Zylak@marvelwelt.fantasy
mgeza,users,mezga,Mézga Géza,Mezga.Geza@somogymogyorod.hu
mpaula,users,mezga,Mézga Paula,Mezga.Paula@somogymogyorod.hu
mkriszta,users,mezga,Mézga Kriszta,Mezga.Kriszta@somogymogyorod.hu
maladar,users,mezga,Mézga Aladár,Mezga.Aladar@somogymogyorod.hu
stevehufnagel,users,mezga,Hufnágel Pisti ,Hufnagel.Pisti@messze.valahol
martonm,users,mezga,Máris Márton,Maris.szomszed@marismarton.hu
mzperx,users,mezga,MZ per X,MZ.per.X@somogymogyorod.hu
bloki,users,mezga,Blöki,Bloki@somogymogyorod.hu
maffia,users,mezga,Maffia,Maffia@somogymogyorod.hu
bekareka,users,bubo,Béka Réka,Beka.Reka@bubo.hu
birkaborka,users,bubo,Birka Borka,Birka.Borka@bubo.hu
bolhaeduard,users,bubo,Bolha Eduárd,Bolha.Eduard@bubo.hu
csimpalfonz,users,bubo,Csimpánz Alfonz,Csimpanz.Alfonz@bubo.hu
csoormester,users,bubo,Csőrmester,Csormester@police.bubo.hu
bubodr,users,bubo,Dr. Bubó,Dr.Bubo@bubo.hu
elefantfani,users,bubo,Elefánt Fáni,Elefant.Fani@bubo.hu
holloszkar,users,bubo,Holló Oszkár,Hollo.Oszkar@bubo.hu
kakukkben,users,bubo,Kakukk Benő,Kakukk.Beno@bubo.hu
kuvikviki,users,bubo,Kuvik Viki,Kuvik.Viki@bubo.hu
lelenke,users,bubo,Lepke Lenke,Lepke.Lenke@bubo.hu
mbarna,users,bubo,Mókus Barna,Mokus.Barna@bubo.hu
pablogor,users,bubo,Pabló Gorilla,Pablo.Gorilla@bubo.hu
pavifabian,users,bubo,Pávián Fábián,Pavian.Fabian@bubo.hu
pocoklip,users,bubo,Pocok Lipót,Pocok.Lipot@bubo.hu
pulipolice,users,bubo,Puli rendőr,Puli@police.bubo.hu
pupune,users,bubo,Pupuné Kamélia,Pupune.Kamelia@bubo.hu
foxpro,users,bubo,Róka prókátor,Fox.Pro@bubo.hu
rozoszkar,users,bubo,Rozmár Oszkár,Rozmar.Oszkar@bubo.hu
szamarton,users,bubo,Szamár Márton,Szamar.Marton@bubo.hu
szberta,users,bubo,Szarka Berta,Szarka.Berta@bubo.hu
szferko,users,bubo,Szarka Ferkó,Szarka.Ferko@bubo.hu
szterka,users,bubo,Szarka Terka,Szarka.Terka@bubo.hu
teknocerno,users,bubo,Teknőc Ernő,Teknoc.Erno@bubo.hu
ursula,users,bubo,Ursula,Ursula@bubo.hu
vottokar,users,bubo,Varjú Ottokár,Varju.Ottokar@bubo.hu
jonasv,users,bubo,Víziló Jónás,Vízilo.Jonas@bubo.hu
